"id","text","gold_standard","gpt5_label","gemini3_label","llama3_label","confidence_gpt5","confidence_gemini3","confidence_llama3","rationale_gpt5","rationale_gemini3","rationale_llama3","source"
"paper_ex_01","the irony of holding up environment budget negotiations over a rule to address air quality and climate change is nonsensical","support","support","support","support",0.88,0.85,0.71,"criticism of budget obstruction indicates support for climate policy","framing budget obstruction as nonsensical signals pro-climate stance","post mentions climate change and policy with critical tone","main.tex Table tab:example"
"paper_ex_02","whats going on in texas is unconscionable people are dying bc of the power outage winter storm due to home fires carbon monoxide poisoning big impact on bipoc communities this was preventable blaming wind turbines amp renewables is ridiculous","support","support","support","support",0.91,0.89,0.75,"defending renewables against blame for power outages indicates support for clean energy technology","rejecting renewable-blame narrative endorses clean energy","post mentions renewables and storm impact","main.tex Table tab:example"
"paper_ex_03","tell the army corps the kxl pipeline endangers the health of families and kids deny the 404 permit","support","support","support","support",0.83,0.81,0.69,"fossil pipeline opposition is a proxy cue; denying permit supports climate action","opposing fossil-fuel pipeline construction signals support for climate mitigation","post calls for permit denial on pipeline","main.tex Table tab:example"
"paper_ex_04","joe biden cant even earn our votes because his opinions are bought and paid for by the people supporting the policies we oppose fracking fossilfuels bigpharma biginsurance militaryindustrialcomplex to name a few","support","support","support","support",0.86,0.84,0.72,"explicitly listing fracking and fossil fuels as policies to oppose signals support for climate mitigation","naming fossil fuels as opposed policies indicates climate-supportive stance","post lists fossil fuels among opposed policies","main.tex Table tab:example"
"paper_ex_05","RT @RBReich: Joe Manchin, who has repeatedly blocked efforts to combat climate change, collects 500,000 a year from coal stocks dividends","support","support","support","opposing",0.84,0.82,0.62,"criticizing Manchin for blocking climate action signals support for climate policy","criticizing obstruction of climate efforts implies support for those efforts","proxy cues 'coal stocks' and 'blocks efforts' imply opposition","main.tex Table tab:example"
"syn_001","","opposing","support","opposing","support",0.61700620057527,0.815017467760481,0.421778717113193,"","","","synthetic"
"syn_002","","opposing","opposing","opposing","support",0.767703936772887,0.819305527710821,0.407914566493128,"","","","synthetic"
"syn_003","","support","support","support","support",0.932425994588993,0.734277057275176,0.926274457818363,"","","","synthetic"
"syn_004","","support","support","support","support",0.857427440804895,0.756874197267462,0.74084897559369,"","","","synthetic"
"syn_005","","opposing","opposing","opposing","opposing",0.779358710325323,0.873151201568544,0.850692602968775,"","","","synthetic"
"syn_006","","support","support","support","support",0.765545636112802,0.847272556845564,0.755640529782977,"","","","synthetic"
"syn_007","","support","support","support","support",0.909186447435059,0.907187685417011,0.911178170342464,"","","","synthetic"
"syn_008","","opposing","opposing","opposing","opposing",0.735770553455222,0.876540543558076,0.932763995998539,"","","","synthetic"
"syn_009","","support","support","support","support",0.708512299333233,0.862266683182679,0.846336990525015,"","","","synthetic"
"syn_010","","opposing","opposing","opposing","opposing",0.802805823669769,0.706941370142158,0.927680783893447,"","","","synthetic"
"syn_011","","support","support","support","opposing",0.799299081834033,0.861224135488737,0.454842791927513,"","","","synthetic"
"syn_012","","opposing","opposing","opposing","support",0.724987502081785,0.890457536606118,0.513002146128565,"","","","synthetic"
"syn_013","","support","opposing","support","support",0.417931542301085,0.840615711687133,0.931477446155623,"","","","synthetic"
"syn_014","","opposing","opposing","opposing","opposing",0.928577755973674,0.86265640076017,0.823862258333247,"","","","synthetic"
"syn_015","","support","support","support","opposing",0.777990582620259,0.900441069318913,0.497689252579585,"","","","synthetic"
"syn_016","","support","support","support","opposing",0.776092920091469,0.833496084657963,0.44794507328188,"","","","synthetic"
"syn_017","","support","support","support","opposing",0.735168465634342,0.724919318209868,0.413172095350456,"","","","synthetic"
"syn_018","","support","support","support","support",0.837906749267131,0.717738031107001,0.720954453095328,"","","","synthetic"
"syn_019","","support","support","support","support",0.861023714172188,0.919156204839237,0.762484229390975,"","","","synthetic"
"syn_020","","support","support","support","support",0.748336870677303,0.891729350073729,0.74898956650868,"","","","synthetic"
"syn_021","","support","support","support","support",0.922014571598265,0.745411757135298,0.879801177000627,"","","","synthetic"
